ApellidoAsambleista,Total
COLLAGUAZO,2
GENDE,2
ESPINOSA,2
GODOY,2
ESPINOZA,2
GUALINGA,2
FARFAN,2
GUILLEN,2
CONTRERAS,2
HERVAS,2
FLOR,2
CUENCA,2
CORO,2
CUJI,2
FRIAS,2
FRITSCHI,2
CORTAZAR,2
CARRASCO,2
BERNAL,2
AGUAS,2
AROCA,2
CANALES,2
BOSQUEZ,2
BAYAS,2
BRAMBILLA,2
CERVANTES,2
ANDINO,2
CHILIQUINGA,2
BRIONES,2
ARBOLEDA,2
BUCARAM,2
BASANTE,2
BUENDIA,2
BECERRA,2
BUENO,2
AGUALSACA,2
ARROYO,2
CHACHA,2
AGUINAGA,2
BLACIO,2
ASTUDILLO,2
AÑAZCO,2
ANGULO,2
CANDELL,2
CABASCANGO,2
CARPIO,2
AVENDAÑO,2
CARRERA,2
AYALA,2
BATALLAS,2
CACERES,2
CASSINELLI,2
AZIN,2
BEDRAN,2
CAICEDO,2
CELI,2
CALAZACON,2
BENAVIDEZ,2
CALDERON,2
BERGMANN,2
CALI,2
CHACON,2
BALTAZAR,2
CHALAN,2
CALO,2
ALEMAN,2
BAQUERIZO,2
CAMPANA,2
BORBUA,2
ABRIL,2
YUMBO,1
SOZORANGA,1
SORIA,1
SALDARRIAGA,1
TABANGO,1
TENE,1
SACA,1
RON,1
SOTOMAYOR,1
TENEZACA,1
VIVAR,1
RAUL,1
YASUMA,1
SALME,1
RHOR,1
SALTO,1
VEROZAZ,1
ROBLEZ,1
SAETEROS,1
TIPANTAXI,1
VILLAMARIN,1
ROSALES,1
SUNTA,1
SAMBONINO,1
WAGNER,1
TOAQUIZA,1
YANEZ,1
SAN,1
TAMARIZ,1
TOLEDO,1
ZABALA,1
SANABRIA,1
TEJADA,1
TONATO,1
SACANCELA,1
TORAL,1
RIVAS,1
ROSAS,1
VILLACIS,1
RAMIRO,1
VILLAGOMEZ,1
TOSCANO,1
VILLALVA,1
TOVAR,1
VILLAO,1
TRIVIÑO,1
SAILEMA,1
SANDOVAL,1
SUNTASIG,1
TRUJILLO,1
VIZCAINO,1
ROSERO,1
WILSON,1
UGARTE,1
YANCHAK,1
UGSHA,1
TAFUR,1
SANMIGUEL,1
REYNA,1
ULLOA,1
YUGSI,1
UMAGINGA,1
YUQUILEMA,1
UMAJINGA,1
TANDAZO,1
UNDA,1
TARIS,1
SANTACRUZ,1
VERDEZOTO,1
URIA,1
SOLIS,1
RUALES,1
VERKOVITCH,1
URIBE,1
VICENTE,1
RUANO,1
VIERA,1
RUBIO,1
VILLA,1
USHIÑA,1
SORNOZA,1
UZCATEGUI,1
VILLAFUERTE,1
SAQUICELA,1
VILLAGRAN,1
VACACELA,1
VILLALTA,1
REDROBAN,1
SOUSA,1
VALDEZ,1
VILLAMIL,1
SARRIA,1
VILLARREAL,1
VALDOSPINOS,1
VILLEGAS,1
RUGEL,1
SUBIA,1
SEGARRA,1
VITE,1
VALLADARES,1
SUQUILANDA,1
RIOFRIO,1
VIVAS,1
RUMIPAMBA,1
VIZUETE,1
SEJIDO,1
WEBER,1
RENTERIA,1
WISUM,1
SEVILLA,1
TACLE,1
SHONDA,1
TACO,1
VASCO,1
YANTALEMA,1
SHUCAD,1
YARLEQUE,1
SIBRI,1
YAULI,1
SIERRA,1
TAIPE,1
VEINTIMILLA,1
YUGLA,1
SIGCHA,1
YUMBAY,1
VELAÑA,1
RIVERO,1
REGALADO,1
YUXI,1
SIMBAÑA,1
ZAJIA,1
SIMISTERRA,1
RAMON,1
SINCHIGUANO,1
RIASCOS,1
SINMALEZA,1
ZEVALLOS,1
VENEGAS,1
TEJENA,1
SISA,1
TIPAN,1
PIZANGO,1
PAUCAR,1
MARIÑO,1
MATAMORO,1
PILALOA,1
LUCIO,1
PRIETO,1
MONTECE,1
MIDEROS,1
LLANO,1
PEREIRA,1
MONTERO,1
PINEDA,1
LLANOS,1
PONTON,1
MEDRANDA,1
MONTACHANA,1
MONTESINO,1
PARDO,1
MONTOYA,1
PASTRANO,1
MORA,1
MINDA,1
MORAL,1
MINGA,1
LOMBEYDA,1
MAURAT,1
LUQUE,1
PINTO,1
LLERENA,1
MAYA,1
MOREJON,1
POVEDA,1
LEIME,1
PUJUPAT,1
MATOVELLE,1
MONTAFAR,1
MATUTE,1
PANCHEZ,1
LOQUI,1
MARMOL,1
MADERO,1
PASSAILAGUE,1
LLUMIHUASI,1
PATINO,1
MUENTES,1
PAZ,1
MULLO,1
MARQUINEZ,1
MENDIETA,1
MARROIL,1
LEMA,1
PICOITA,1
MAUGE,1
